# Constructed from biom file					
OTU_ID	BHBS	BPS	ISED	LBS	taxa
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiales_Incertae_Sedis	0	0.001278249	0.002411711	0	Rhizobiales_Incertae_Sedis
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae	0	0.026076286	0.014122223	0.002189055	Prolixibacteraceae
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methyloligellaceae	0	0	0.000630566	0	Methyloligellaceae
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae	0	0	0.000863957	0.00119403	Methanomassiliicoccaceae
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Halieaceae	0	0.003221188	0.003902139	0	Halieaceae
d__Bacteria;p__Desulfobacterota;c__Syntrophorhabdia;o__Syntrophorhabdales;f__Syntrophorhabdaceae	0	0.003221188	0.002080049	0.004776119	Syntrophorhabdaceae
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Lentimicrobiaceae	0	0.022088148	0.014715938	0.008358209	Lentimicrobiaceae
d__Bacteria;p__Nitrospirota;c__Leptospirillia;o__Leptospirillales;f__Leptospirillaceae	0.04751704	0	0	0	Leptospirillaceae
d__Bacteria;p__Sva0485;c__Sva0485;o__Sva0485;f__Sva0485	0	0.012577973	0.008144129	0.031641791	Sva0485
d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae	0	0.004346048	0.004946259	0	Desulfobulbaceae
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae	0	0.003221188	0.004405773	0	Methylophilaceae
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sulfuricellaceae	0	0.007311586	0.003746545	0.006169154	Sulfuricellaceae
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__SZB30;f__SZB30	0	0.001891809	0.001015457	0	SZB30
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae	0.114995131	0	0.001736104	0	Acetobacteraceae
d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__Ignavibacteriales;f__Ignavibacteriaceae	0	0.033387872	0.008074521	0	Ignavibacteriaceae
d__Bacteria;p__Acidobacteriota;c__Holophagae;o__Holophagales;f__Holophagaceae	0	0.002761019	0.00651039	0	Holophagaceae
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__KF-JG30-C25;f__KF-JG30-C25	0.318403116	0	0	0	KF-JG30-C25
d__Bacteria;p__Desulfobacterota;c__Desulfobaccia;o__Desulfobaccales;f__Desulfobaccaceae	0	0.004039268	0.002903061	0.00119403	Desulfobaccaceae
d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfosarcinaceae	0	0.006851416	0.008852493	0.00079602	Desulfosarcinaceae
d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Vicinamibacteraceae	0	0.000971469	0.002428089	0	Vicinamibacteraceae
d__Bacteria;p__Acidobacteriota;c__Subgroup_22;o__Subgroup_22;f__Subgroup_22	0	0.001942939	0.001306173	0.00159204	Subgroup_22
