# Constructed from biom file									
OTU_ID	BB	BP01	BP02	BP03	LB	MC1	MC2	N_ctrl	taxa
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomaceae	0	0.009793052	0.001998858	0.012904205	0	0	0	0	Spirosomaceae
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae	0	0.021249076	0.007138778	0.011537878	0	0	0	0	Opitutaceae
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae	0	0.059127864	0.055968018	0.090025808	0	0	0	0	Rhodocyclaceae
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__GOUTB8;f__GOUTB8	0	0.000554324	0.000285551	0	0	0	0	0	GOUTB8
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae	0	0.036031042	0.049971445	0.031729164	0	0	0	0	Prolixibacteraceae
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Hydrogenophilaceae	0	0.009608278	0.016847516	0.024745711	0	0	0	0	Hydrogenophilaceae
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae	0	0.009977827	0.00770988	0.008805222	0	0	0	0	Methylophilaceae
d__Bacteria;p__LCP-89;c__LCP-89;o__LCP-89;f__LCP-89	0	0.000739098	0.001998858	0.000910885	0	0	0	0	LCP-89
d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae	0	0.00646711	0.011993147	0.00364354	0	0	0	0	Smithellaceae
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Chitinibacteraceae	0	0.002956393	0.001427756	0.000607257	0	0	0	0	Chitinibacteraceae
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Arenicellales;f__Arenicellaceae	0	0.004249815	0.009137636	0.009108851	0	0	0	0	Arenicellaceae
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__SC-I-84	0	0.009053954	0.015134209	0.016547746	0.03030303	0	0	0	SC-I-84
d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurimonadaceae	0	0.03473762	0.066247858	0.012600577	0	0	0	0	Sulfurimonadaceae
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidetes_BD2-2	0	0.007390983	0.025128498	0.008653408	0	0	0	0	Bacteroidetes_BD2-2
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae	0	0.05413895	0.003997716	0.001062699	0.015151515	0	0	0	Phormidiaceae
d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae	0	0.005728012	0.013135351	0.007287081	0	0	0	0	Spirochaetaceae
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae	0	0.011825573	0.001427756	0.007135266	0	0	0	0	Aeromonadaceae
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae	0	0.004619364	0.003997716	0.008197966	0	0	0	0	Xanthomonadaceae
d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__WCHB1-41;f__WCHB1-41	0	0.003880266	0.005996573	0.004554425	0	0	0	0	WCHB1-41
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae	0	0.003325942	0.00256996	0.000455443	0	0	0	0	Anaerovoracaceae
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;__	0	0.000923873	0	0	0	0	0	0	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;__
