# Constructed from biom file									
OTU_ID	BB	BP01	BP02	BP03	LB	MC1	MC2	N_ctrl	taxa
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Chromobacteriaceae	0	0	0	0.000303628	0	0	0	0	Chromobacteriaceae
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__37-13	0	0	0	0.000455443	0	0	0	0	37-13
d__Bacteria;p__Myxococcota;__;__;__	0	0	0	0.000303628	0	0	0	0	d__Bacteria;p__Myxococcota;__;__;__
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Thalassobaculales;f__uncultured	0	0	0	0.000303628	0	0	0	0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Thalassobaculales;f__uncultured
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae	0	0	0	0.000303628	0	0.37971632	0.636642852	0.5	Enterobacteriaceae
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Williamwhitmaniaceae	0	0	0	0.000303628	0	0	0	0	Williamwhitmaniaceae
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae	0	0	0	0.000303628	0	0.089589056	6.68E-05	0	Enterococcaceae
d__Bacteria;p__Firmicutes;c__Bacilli;o__Exiguobacterales;f__Exiguobacteraceae	0	0	0	0.000455443	0	0	0	0	Exiguobacteraceae
d__Bacteria;p__Verrucomicrobiota;c__Omnitrophia;o__Omnitrophales;__	0	0	0	0.000303628	0	0	0	0	d__Bacteria;p__Verrucomicrobiota;c__Omnitrophia;o__Omnitrophales;__
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ga0077536;f__Ga0077536	0	0	0	0.000303628	0	0	0	0	Ga0077536
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__uncultured	0	0	0	0.000303628	0	0	0	0	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__uncultured
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Listeriaceae	0	0	0	0	0	0.124124012	0	0	Listeriaceae
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae	0	0	0	0	0	0.093905926	0.002470455	0	Lactobacillaceae
d__Bacteria;p__Firmicutes;c__Bacilli;__;__	0	0	0	0	0	0.000112126	0	0	d__Bacteria;p__Firmicutes;c__Bacilli;__;__
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae	0	0	0	0	0	0	0.140014689	0	Streptococcaceae
d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae	0	0	0	0	0	0	0.003138145	0	Helicobacteraceae
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae	0	0	0	0	0	0	0.002003071	0	Porphyromonadaceae
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae	0	0	0	0	0	0	0.000600921	0	Neisseriaceae
