file	percent	reads	taxon_id	taxa
BP.kaiju.out	0.0355	32416	255475	Aurantimonadaceae
BP.kaiju.out	0.035196	32139	2762302	Reichenbachiellaceae
BP.kaiju.out	0.034952	31916	1154585	Gaiellaceae
BP.kaiju.out	0.034926	31892	320599	Solirubrobacteraceae
BP.kaiju.out	0.034073	31113	2937909	Desulfitobacteriaceae
BP.kaiju.out	0.033583	30666	1962854	Calditrichaceae
BP.kaiju.out	0.033445	30540	666507	Phycisphaeraceae
BP.kaiju.out	0.033194	30311	481	Neisseriaceae
BP.kaiju.out	0.033029	30160	1334117	Melioribacteraceae
BP.kaiju.out	0.032476	29655	2012	Thermomonosporaceae
BP.kaiju.out	0.03207	29284	104174	Oscillochloridaceae
BP.kaiju.out	0.031839	29073	128827	Erysipelotrichaceae
BP.kaiju.out	0.031677	28925	2887365	Marinobacteraceae
BP.kaiju.out	0.031607	28861	183710	Deinococcaceae
BP.kaiju.out	0.030205	27581	3031658	Desulfomonilaceae
BP.kaiju.out	0.029764	27179	1970190	Salinivirgaceae
BP.kaiju.out	0.029537	26971	1860138	Chitinispirillaceae
BP.kaiju.out	0.028823	26319	31993	Methylocystaceae
BP.kaiju.out	0.028506	26030	2806305	Aggregatilineaceae
BP.kaiju.out	0.02802	25586	213483	Pseudobdellovibrionaceae
BP.kaiju.out	0.027739	25329	246874	Cryomorphaceae
BP.kaiju.out	0.026984	24640	2821832	Stappiaceae
BP.kaiju.out	0.026927	24588	2811504	Thermodesulfovibrionaceae
BP.kaiju.out	0.026846	24514	186806	Eubacteriaceae
BP.kaiju.out	0.026767	24442	224464	Kofleriaceae
BP.kaiju.out	0.025968	23712	2750653	Pontiellaceae
BP.kaiju.out	0.025903	23653	2937910	Desulfotomaculaceae
BP.kaiju.out	0.025798	23557	1890426	Synechococcaceae
BP.kaiju.out	0.025761	23523	444	Legionellaceae
BP.kaiju.out	0.025693	23461	1055686	Sandaracinaceae
BP.kaiju.out	0.025558	23338	1508635	Roseiflexaceae
BP.kaiju.out	0.025395	23189	83778	Kineosporiaceae
BP.kaiju.out	0.025274	23079	186823	Alicyclobacillaceae
BP.kaiju.out	0.024815	22659	135616	Piscirickettsiaceae
BP.kaiju.out	0.024116	22021	1647988	Akkermansiaceae
BP.kaiju.out	0.024115	22020	267890	Shewanellaceae
BP.kaiju.out	0.0241	22007	1892254	Oscillatoriaceae
BP.kaiju.out	0.023771	21706	2951104	Breznakiellaceae
