file	percent	reads	taxon_id	taxon_name
BP.kaiju.out	0.050957	46531	1734920	Pseudorhodoplanes
BP.kaiju.out	0.049879	45546	1344552	Noviherbaspirillum
BP.kaiju.out	0.049856	45525	33057	Thauera
BP.kaiju.out	0.048399	44195	85413	Bosea
BP.kaiju.out	0.048340	44141	335058	Pelomonas
BP.kaiju.out	0.047550	43420	391952	Aquincola
BP.kaiju.out	0.047358	43244	29526	Syntrophobacter
BP.kaiju.out	0.046916	42841	39840	Desulforhabdus
BP.kaiju.out	0.046717	42659	1386	Bacillus
BP.kaiju.out	0.046026	42028	1649501	Tangfeifania
BP.kaiju.out	0.045790	41812	1434046	Sphingorhabdus
BP.kaiju.out	0.045542	41586	53460	Nakamurella
BP.kaiju.out	0.045508	41555	2038697	Williamwhitmania
BP.kaiju.out	0.045020	41109	60892	Desulfobacca
BP.kaiju.out	0.045004	41095	407	Methylobacterium
BP.kaiju.out	0.044353	40500	83614	Luteimonas
BP.kaiju.out	0.043573	39788	354354	Niastella
BP.kaiju.out	0.043503	39724	1865	Actinoplanes
BP.kaiju.out	0.043379	39611	1648491	Aquihabitans
BP.kaiju.out	0.043262	39504	75	Caulobacter
BP.kaiju.out	0.043032	39294	34102	Sphaerotilus
BP.kaiju.out	0.042196	38531	396811	Fulvivirga
BP.kaiju.out	0.042104	38447	469	Acinetobacter
BP.kaiju.out	0.041880	38242	445219	Reyranella
BP.kaiju.out	0.041835	38201	35798	Nitrosospira
BP.kaiju.out	0.041368	37775	191	Azospirillum
BP.kaiju.out	0.040549	37027	2100741	Oleiharenicola
BP.kaiju.out	0.039937	36468	379899	Niabella
BP.kaiju.out	0.039564	36127	662	Vibrio
BP.kaiju.out	0.039307	35893	299566	Adhaeribacter
BP.kaiju.out	0.039268	35857	2698688	Paraflavitalea
BP.kaiju.out	0.039243	35834	295577	Chthoniobacter
BP.kaiju.out	0.039136	35736	2768684	Terricaulis
BP.kaiju.out	0.039003	35615	504481	Sediminibacterium
BP.kaiju.out	0.038969	35584	358023	Lutibacter
BP.kaiju.out	0.038930	35548	763439	Caenimonas
BP.kaiju.out	0.038929	35547	398041	Flavisolibacter
BP.kaiju.out	0.038920	35539	2060722	Labilibaculum
BP.kaiju.out	0.038625	35270	556257	Pseudolabrys
BP.kaiju.out	0.038604	35251	1080709	Methanomassiliicoccus
BP.kaiju.out	0.038567	35217	55	Polyangium
BP.kaiju.out	0.038441	35102	2807511	Humisphaera
BP.kaiju.out	0.038313	34985	146937	Azospira
BP.kaiju.out	0.038206	34887	872	Desulfovibrio
BP.kaiju.out	0.038155	34841	1538468	Povalibacter
BP.kaiju.out	0.038035	34731	1177	Nostoc
BP.kaiju.out	0.037822	34537	1434028	Ornatilinea
BP.kaiju.out	0.037602	34336	2745	Halomonas
BP.kaiju.out	0.037261	34024	460073	Segetibacter
BP.kaiju.out	0.037124	33899	1191515	Ornithinibacter
BP.kaiju.out	0.037014	33799	105	Runella
BP.kaiju.out	0.036978	33766	453161	Candidatus Nitrotoga
BP.kaiju.out	0.036892	33687	106633	Thioalkalivibrio
BP.kaiju.out	0.036669	33484	1827	Rhodococcus
BP.kaiju.out	0.036565	33389	265488	Rhodopirellula
BP.kaiju.out	0.036415	33252	1961799	Lacunisphaera
BP.kaiju.out	0.036393	33232	1744881	Sulfuricaulis
BP.kaiju.out	0.036339	33182	1217416	Halioglobus
BP.kaiju.out	0.036219	33073	1410680	Methyloglobulus
BP.kaiju.out	0.036130	32992	252356	Maribacter
BP.kaiju.out	0.035870	32754	48463	Prosthecobacter
BP.kaiju.out	0.035851	32737	1970195	Ancylomarina
BP.kaiju.out	0.035769	32662	312278	Emticicia
BP.kaiju.out	0.035767	32660	138117	Quatrionicoccus
BP.kaiju.out	0.035625	32530	2795426	Novipirellula
BP.kaiju.out	0.035306	32239	53392	Thiodictyon
BP.kaiju.out	0.034987	31948	2160	Methanobacterium
BP.kaiju.out	0.034472	31478	233191	Caldilinea
BP.kaiju.out	0.034355	31371	111500	Muricauda
BP.kaiju.out	0.034337	31354	349	Zoogloea
BP.kaiju.out	0.034227	31254	45654	Desulfonema
BP.kaiju.out	0.034087	31126	1400859	Candidatus Contendobacter
BP.kaiju.out	0.033632	30711	59738	Marinilabilia
BP.kaiju.out	0.033617	30697	1873	Micromonospora
BP.kaiju.out	0.033583	30666	187144	Caldithrix
BP.kaiju.out	0.033573	30657	41275	Brevundimonas
BP.kaiju.out	0.033423	30520	551759	Aromatoleum
BP.kaiju.out	0.033247	30359	2772198	Sulfurimicrobium
BP.kaiju.out	0.032885	30028	44013	Polynucleobacter
BP.kaiju.out	0.032742	29898	265487	Blastopirellula
BP.kaiju.out	0.032552	29724	1054211	Sulfuritalea
BP.kaiju.out	0.032375	29563	2820403	Rhabdothermincola
BP.kaiju.out	0.032314	29507	1618113	Saccharicrinis
BP.kaiju.out	0.032229	29429	401469	Undibacterium
BP.kaiju.out	0.032119	29329	2289	Desulfobacter
BP.kaiju.out	0.031784	29023	69578	Cryobacterium
BP.kaiju.out	0.031525	28787	52959	Polaribacter
BP.kaiju.out	0.031518	28780	499551	Methanolinea
BP.kaiju.out	0.031475	28741	283	Comamonas
BP.kaiju.out	0.031328	28607	762296	Methylovulum
BP.kaiju.out	0.031205	28494	265	Paracoccus
BP.kaiju.out	0.031185	28476	178469	Arenibacter
BP.kaiju.out	0.030604	27946	1073	Rhodopseudomonas
BP.kaiju.out	0.030595	27937	1817	Nocardia
BP.kaiju.out	0.030578	27922	2762384	Breznakibacter
BP.kaiju.out	0.030482	27834	85079	Thiohalocapsa
BP.kaiju.out	0.030427	27784	1511635	Aquisphaera
BP.kaiju.out	0.030417	27775	1298	Deinococcus
BP.kaiju.out	0.030252	27624	416949	Parapedobacter
BP.kaiju.out	0.030210	27586	1033	Afipia
BP.kaiju.out	0.030205	27581	2357	Desulfomonile
BP.kaiju.out	0.030201	27578	123	Pirellula
BP.kaiju.out	0.030165	27545	846	Oxalobacter
BP.kaiju.out	0.030151	27532	13724	Thiocystis
BP.kaiju.out	0.029905	27307	171	Leptospira
BP.kaiju.out	0.029827	27236	2742	Marinobacter
BP.kaiju.out	0.029654	27078	1400386	Bythopirellula
BP.kaiju.out	0.029537	26971	1860139	Chitinispirillum
BP.kaiju.out	0.029397	26843	75309	Rhodanobacter
BP.kaiju.out	0.029246	26706	12960	Azoarcus
BP.kaiju.out	0.028506	26030	2806306	Aggregatilinea
BP.kaiju.out	0.028450	25979	68288	Cyclobacterium
BP.kaiju.out	0.028389	25923	1236988	Geofilum
BP.kaiju.out	0.028368	25904	2806031	Ginsengibacter
BP.kaiju.out	0.028321	25861	1077886	Thermanaerothrix
BP.kaiju.out	0.028212	25761	866673	Marinifilum
BP.kaiju.out	0.028163	25717	574899	Haloferula
BP.kaiju.out	0.028159	25713	2760873	Tenuifilum
BP.kaiju.out	0.028150	25705	35838	Holophaga
BP.kaiju.out	0.028105	25664	1064	Rhodocyclus
BP.kaiju.out	0.027963	25534	517	Bordetella
BP.kaiju.out	0.027931	25505	2866216	Perlabentimonas
BP.kaiju.out	0.027701	25295	1091	Chlorobium
BP.kaiju.out	0.027627	25227	40413	Desulforhopalus
BP.kaiju.out	0.027573	25178	207599	Solirubrobacter
BP.kaiju.out	0.027453	25068	940557	Granulicella
BP.kaiju.out	0.027426	25044	367298	Phycicoccus
BP.kaiju.out	0.027339	24964	286729	Alkaliflexus
BP.kaiju.out	0.027152	24793	290174	Aquimarina
BP.kaiju.out	0.026977	24634	413	Methylococcus
BP.kaiju.out	0.026927	24588	28261	Thermodesulfovibrio
BP.kaiju.out	0.026908	24571	963	Herbaspirillum
BP.kaiju.out	0.026885	24550	1649453	Gimesia
BP.kaiju.out	0.026878	24543	231454	Dyella
BP.kaiju.out	0.026835	24504	332157	Larkinella
BP.kaiju.out	0.026780	24454	1763521	Paludisphaera
BP.kaiju.out	0.026757	24433	1154586	Gaiella
BP.kaiju.out	0.026388	24096	642	Aeromonas
BP.kaiju.out	0.026291	24007	40323	Stenotrophomonas
BP.kaiju.out	0.026286	24003	53452	Lamprocystis
BP.kaiju.out	0.025970	23714	929509	Solitalea
BP.kaiju.out	0.025968	23712	2750657	Pontiella
BP.kaiju.out	0.025932	23679	2963348	Chryseosolibacter
BP.kaiju.out	0.025745	23509	388463	Edaphobacter
BP.kaiju.out	0.025619	23394	1874621	Panacibacter
BP.kaiju.out	0.025616	23391	2735	Verrucomicrobium
BP.kaiju.out	0.025490	23276	670486	Dehalogenimonas
BP.kaiju.out	0.025475	23262	1827195	Caballeronia
BP.kaiju.out	0.025327	23127	1940406	Candidatus Moduliflexus
BP.kaiju.out	0.025249	23056	165697	Sphingopyxis
BP.kaiju.out	0.025172	22985	2705385	Puteibacter
BP.kaiju.out	0.025013	22840	45989	Methanoculleus
BP.kaiju.out	0.024735	22586	1129	Synechococcus
BP.kaiju.out	0.024721	22574	2576890	Nibricoccus
BP.kaiju.out	0.024705	22559	2892997	Candidatus Viadribacter
BP.kaiju.out	0.024695	22550	338	Xanthomonas
BP.kaiju.out	0.024580	22445	1769726	Niveibacterium
BP.kaiju.out	0.024487	22360	911113	Bryobacter
BP.kaiju.out	0.024272	22164	445	Legionella
BP.kaiju.out	0.024209	22106	2778334	Candidatus Aquirickettsiella
BP.kaiju.out	0.024201	22099	1778653	Sulfuriferula
BP.kaiju.out	0.024159	22060	467975	Iamia
BP.kaiju.out	0.024122	22027	28222	Desulfobacula
BP.kaiju.out	0.024102	22008	380240	Candidatus Brocadia
BP.kaiju.out	0.023810	21742	32	Myxococcus
BP.kaiju.out	0.023754	21691	314343	Sideroxydans
BP.kaiju.out	0.023516	21473	32012	Thiomonas
BP.kaiju.out	0.023478	21439	2762385	Daejeonella
BP.kaiju.out	0.023446	21409	1813	Amycolatopsis
BP.kaiju.out	0.023388	21356	2680020	Tautonia
BP.kaiju.out	0.023386	21355	146	Spirochaeta
BP.kaiju.out	0.023357	21328	83461	Corallococcus
BP.kaiju.out	0.023320	21294	1988	Actinomadura
BP.kaiju.out	0.023276	21254	1379908	Rufibacter
BP.kaiju.out	0.023244	21225	1849718	Labilibacter
BP.kaiju.out	0.023148	21137	222	Achromobacter
BP.kaiju.out	0.022958	20964	22	Shewanella
BP.kaiju.out	0.022667	20698	497742	Desulfatirhabdium
BP.kaiju.out	0.022655	20687	896	Desulfococcus
BP.kaiju.out	0.022461	20510	204447	Skermanella
BP.kaiju.out	0.022356	20414	2795781	Aeoliella
BP.kaiju.out	0.022344	20403	2349	Haliscomenobacter
BP.kaiju.out	0.022302	20365	113	Gemmata
BP.kaiju.out	0.022251	20318	29580	Janthinobacterium
BP.kaiju.out	0.022246	20314	29404	Microlunatus
BP.kaiju.out	0.022157	20232	118	Planctomyces
BP.kaiju.out	0.022036	20122	166953	Kaistia
BP.kaiju.out	0.021969	20061	75654	Duganella
BP.kaiju.out	0.021950	20043	2904609	Desulfogranum
BP.kaiju.out	0.021937	20031	88	Leptothrix
BP.kaiju.out	0.021897	19995	1508451	Polymorphobacter
BP.kaiju.out	0.021872	19972	329857	Cohnella
BP.kaiju.out	0.021813	19918	1940407	Candidatus Vecturithrix
BP.kaiju.out	0.021803	19909	311181	Denitratisoma
BP.kaiju.out	0.021471	19606	1215913	Litorilinea
BP.kaiju.out	0.021358	19503	1676125	Thermogutta
BP.kaiju.out	0.021295	19445	2093335	Roseisolibacter
BP.kaiju.out	0.021291	19442	39773	Methylomicrobium
BP.kaiju.out	0.021260	19413	2682476	Chryseotalea
BP.kaiju.out	0.021249	19403	2795775	Lignipirellula
BP.kaiju.out	0.021213	19370	104267	Tenacibaculum
BP.kaiju.out	0.021145	19308	323413	Dokdonella
BP.kaiju.out	0.021102	19269	13134	Magnetospirillum
BP.kaiju.out	0.021076	19245	1030	Thiothrix
BP.kaiju.out	0.021031	19204	2448024	Desertimonas
BP.kaiju.out	0.020865	19053	2126330	Candidatus Kentron
BP.kaiju.out	0.020862	19050	79206	Desulfosporosinus
BP.kaiju.out	0.020856	19044	1649478	Pelolinea
BP.kaiju.out	0.020846	19035	2843200	Miltoncostaea
BP.kaiju.out	0.020736	18935	2976171	Desulfoferrobacter
BP.kaiju.out	0.020546	18761	1348508	Roseimicrobium
BP.kaiju.out	0.020230	18473	182639	Kribbella
BP.kaiju.out	0.020216	18460	83681	Nonomuraea
BP.kaiju.out	0.020165	18413	392735	Uliginosibacterium
BP.kaiju.out	0.020061	18318	836	Porphyromonas
BP.kaiju.out	0.020033	18293	286104	Winogradskyella
BP.kaiju.out	0.019974	18239	204456	Gemmobacter
BP.kaiju.out	0.019856	18131	56999	Amaricoccus
BP.kaiju.out	0.019764	18047	958	Bdellovibrio
BP.kaiju.out	0.019638	17932	2821507	Agriterribacter
BP.kaiju.out	0.019620	17916	2883486	Geomobilimonas
BP.kaiju.out	0.019594	17892	1647173	Acetobacteroides
BP.kaiju.out	0.019299	17623	1484898	Methyloceanibacter
BP.kaiju.out	0.019270	17596	1041	Erythrobacter
BP.kaiju.out	0.019161	17497	96	Gallionella
BP.kaiju.out	0.019037	17383	1085622	Propioniciclava
BP.kaiju.out	0.018990	17340	191373	Pelotomaculum
BP.kaiju.out	0.018970	17322	219181	Ottowia
BP.kaiju.out	0.018938	17293	119977	Acidithiobacillus
BP.kaiju.out	0.018926	17282	349742	Sedimenticola
BP.kaiju.out	0.018917	17274	361177	Altererythrobacter
BP.kaiju.out	0.018891	17250	202746	Sulfurimonas
BP.kaiju.out	0.018847	17210	466152	Singulisphaera
BP.kaiju.out	0.018732	17105	1549126	Desulfatiglans
BP.kaiju.out	0.018704	17079	2986286	Horticoccus
BP.kaiju.out	0.018698	17074	177399	Anaerophaga
BP.kaiju.out	0.018557	16945	544	Citrobacter
BP.kaiju.out	0.018537	16927	2713642	Methylicorpusculum
BP.kaiju.out	0.018340	16747	1649470	Minicystis
BP.kaiju.out	0.018174	16595	1170227	Candidatus Methylomirabilis
BP.kaiju.out	0.018107	16534	1524217	Labilithrix
BP.kaiju.out	0.017925	16368	224458	Pyxidicoccus
BP.kaiju.out	0.017630	16099	1676142	Wenzhouxiangella
BP.kaiju.out	0.017599	16070	156993	Reichenbachiella
BP.kaiju.out	0.017547	16023	53	Nannocystis
BP.kaiju.out	0.017495	15975	332102	Fluviicola
BP.kaiju.out	0.017406	15894	48073	Microbulbifer
